#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
makeLocusGraph_chromId_000_chr20_0004		command	1	1536	0	0	makeGraphTmpDir		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/EstimateSVLoci --output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_chr20_0004.bin --align-stats /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml --region chr20:42962780-53703473 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/duan/Desktop/bioinfomatic/fa/chr20.fa --align-file /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --tumor-align-file /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam --chrom-depth /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt
makeLocusGraph_chromId_000_chr20_0005		command	1	1536	0	0	makeGraphTmpDir		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/EstimateSVLoci --output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_chr20_0005.bin --align-stats /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml --region chr20:53703474-64444167 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/duan/Desktop/bioinfomatic/fa/chr20.fa --align-file /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --tumor-align-file /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam --chrom-depth /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt
mergeLocusGraphInputList		workflow	0	0	0	0	makeLocusGraph_chromId_000_chr20_0003,makeLocusGraph_chromId_000_chr20_0001,makeLocusGraph_chromId_000_chr20_0000,makeLocusGraph_chromId_000_chr20_0005,makeLocusGraph_chromId_000_chr20_0004,makeLocusGraph_chromId_000_chr20_0002		listFileWorkflow
mergeLocusGraph		command	1	4096	0	0	mergeLocusGraphInputList		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/MergeSVLoci --output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin --graph-file-list /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin.tmpdir/list.svLocusGraph.txt
checkLocusGraph		command	1	4096	0	0	mergeLocusGraph		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/CheckSVLoci --graph-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin
removeTmpDir		command	1	2048	0	0	mergeLocusGraph		rm -rf /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin.tmpdir
locusGraphStats		command	1	4096	0	0	mergeLocusGraph		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/SummarizeSVLoci --global --graph-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin --output-file /home/duan/Desktop/NGS_results/manta/0.5/results/stats/svLocusGraphStats.tsv
makeHyGenDir		command	1	2048	0	1	checkLocusGraph		mkdir -p /home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen
generateCandidateSV_0000		command	2	1536	0	0	makeHyGenDir		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/GenerateSVCandidates --threads 2 --align-stats /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml --graph-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin --bin-index 0 --bin-count 1 --max-edge-count 10 --min-candidate-sv-size 8 --min-candidate-spanning-count 3 --min-scored-sv-size 50 --ref /home/duan/Desktop/bioinfomatic/fa/chr20.fa --candidate-output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/candidateSV.0000.vcf --diploid-output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/diploidSV.0000.vcf --min-qual-score 10 --min-pass-qual-score 20 --min-pass-gt-score 15 --somatic-output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/somaticSV.0000.vcf --min-somatic-score 10 --min-pass-somatic-score 30 --chrom-depth /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt --edge-runtime-log /home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/edgeRuntimeLog.0000.txt --edge-stats-log /home/duan/Desktop/NGS_results/manta/0.5/results/stats/svCandidateGenerationStats.xml --edge-stats-report /home/duan/Desktop/NGS_results/manta/0.5/results/stats/svCandidateGenerationStats.tsv --align-file /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --tumor-align-file /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam
fixVcfHeader_sortCandidateSV		command	1	2048	0	1	generateCandidateSV_0000		"/home/duan/miniconda3/envs/python2.7/bin/python" "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/vcfCmdlineSwapper.py" "configManta.py --normalBam /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --tumorBam /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam --referenceFasta /home/duan/Desktop/bioinfomatic/fa/chr20.fa --runDir /home/duan/Desktop/NGS_results/manta/0.5" < "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/candidateSV.0000.vcf" > "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/candidateSV.0000.vcf.reheader.tmp" && mv "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/candidateSV.0000.vcf.reheader.tmp" "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/candidateSV.0000.vcf"
sortCandidateSVInputList		workflow	0	0	0	0	fixVcfHeader_sortCandidateSV		listFileWorkflow
sort_sortCandidateSV		command	1	2048	0	0	sortCandidateSVInputList		"/home/duan/miniconda3/envs/python2.7/bin/python" "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/sortVcf.py" -f "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/list.sortCandidateSV.txt" -a | "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/bgzip" -c > "/home/duan/Desktop/NGS_results/manta/0.5/results/variants/candidateSV.vcf.gz"
tabix_sortCandidateSV		command	1	2048	0	1	sort_sortCandidateSV		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/tabix -f -p vcf /home/duan/Desktop/NGS_results/manta/0.5/results/variants/candidateSV.vcf.gz
fixVcfHeader_sortDiploidSV		command	1	2048	0	1	generateCandidateSV_0000		"/home/duan/miniconda3/envs/python2.7/bin/python" "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/vcfCmdlineSwapper.py" "configManta.py --normalBam /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --tumorBam /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam --referenceFasta /home/duan/Desktop/bioinfomatic/fa/chr20.fa --runDir /home/duan/Desktop/NGS_results/manta/0.5" < "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/diploidSV.0000.vcf" > "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/diploidSV.0000.vcf.reheader.tmp" && mv "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/diploidSV.0000.vcf.reheader.tmp" "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/diploidSV.0000.vcf"
sortDiploidSVInputList		workflow	0	0	0	0	fixVcfHeader_sortDiploidSV		listFileWorkflow
sort_sortDiploidSV		command	1	2048	0	0	sortDiploidSVInputList		"/home/duan/miniconda3/envs/python2.7/bin/python" "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/sortVcf.py" -f "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/list.sortDiploidSV.txt" > "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/diploidSV.vcf.temp" && "/home/duan/miniconda3/envs/python2.7/bin/python" "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/ploidyFilter.py" "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/diploidSV.vcf.temp" | "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/bgzip" -c > "/home/duan/Desktop/NGS_results/manta/0.5/results/variants/diploidSV.vcf.gz" && rm -f "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/diploidSV.vcf.temp"
tabix_sortDiploidSV		command	1	2048	0	1	sort_sortDiploidSV		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/tabix -f -p vcf /home/duan/Desktop/NGS_results/manta/0.5/results/variants/diploidSV.vcf.gz
fixVcfHeader_sortSomaticSV		command	1	2048	0	1	generateCandidateSV_0000		"/home/duan/miniconda3/envs/python2.7/bin/python" "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/vcfCmdlineSwapper.py" "configManta.py --normalBam /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --tumorBam /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam --referenceFasta /home/duan/Desktop/bioinfomatic/fa/chr20.fa --runDir /home/duan/Desktop/NGS_results/manta/0.5" < "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/somaticSV.0000.vcf" > "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/somaticSV.0000.vcf.reheader.tmp" && mv "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/somaticSV.0000.vcf.reheader.tmp" "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/somaticSV.0000.vcf"
sortSomaticSVInputList		workflow	0	0	0	0	fixVcfHeader_sortSomaticSV		listFileWorkflow
sort_sortSomaticSV		command	1	2048	0	0	sortSomaticSVInputList		"/home/duan/miniconda3/envs/python2.7/bin/python" "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/sortVcf.py" -f "/home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/list.sortSomaticSV.txt" | "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/bgzip" -c > "/home/duan/Desktop/NGS_results/manta/0.5/results/variants/somaticSV.vcf.gz"
tabix_sortSomaticSV		command	1	2048	0	1	sort_sortSomaticSV		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/tabix -f -p vcf /home/duan/Desktop/NGS_results/manta/0.5/results/variants/somaticSV.vcf.gz
extractSmallIndels		command	1	2048	0	1	sort_sortCandidateSV		"/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/bgzip" -dc "/home/duan/Desktop/NGS_results/manta/0.5/results/variants/candidateSV.vcf.gz" | "/home/duan/miniconda3/envs/python2.7/bin/python" "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/extractSmallIndelCandidates.py" --maxSize 49 | "/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/bgzip" -c > "/home/duan/Desktop/NGS_results/manta/0.5/results/variants/candidateSmallIndels.vcf.gz"
extractSmallIndels_tabix		command	1	2048	0	1	extractSmallIndels		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/tabix -f -p vcf /home/duan/Desktop/NGS_results/manta/0.5/results/variants/candidateSmallIndels.vcf.gz
sortEdgeRuntimeLogsInputList		workflow	0	0	0	0	generateCandidateSV_0000		listFileWorkflow
sortEdgeRuntimeLogs		command	1	2048	0	1	sortEdgeRuntimeLogsInputList		/home/duan/miniconda3/envs/python2.7/bin/python /home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/sortEdgeLogs.py -f /home/duan/Desktop/NGS_results/manta/0.5/workspace/svHyGen/list.edgeRuntimeLog.txt -o /home/duan/Desktop/NGS_results/manta/0.5/workspace/edgeRuntimeLog.txt
