EdgeStatsReport
SVGenTotalHours	0.0464h wall, 0.0916h user + 0.0009h system = 0.0925h CPU (199.22%)
candiSecsPerEdge	0.0040s wall, 0.0079s user + 0.0001s system = 0.0080s CPU (202.30%)
candiSecsPerCand	0.0050s wall, 0.0099s user + 0.0001s system = 0.0101s CPU (202.30%)
assemHours	0.0194h wall, 0.0383h user + 0.0003h system = 0.0386h CPU (199.16%)
assemSecsPerEdge	0.1111s wall, 0.2193s user + 0.0019s system = 0.2212s CPU (199.16%)
assemSecsPerCand	0.1397s wall, 0.2759s user + 0.0024s system = 0.2783s CPU (199.16%)
scoreHours	0.0019h wall, 0.0038h user + 0.0001h system = 0.0039h CPU (200.82%)
scoreSecsPerEdge	0.0110s wall, 0.0218s user + 0.0003s system = 0.0222s CPU (200.82%)
scoreSecsPerCand	0.0139s wall, 0.0275s user + 0.0004s system = 0.0279s CPU (200.82%)
nocatHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (71.95%)
nocatSecsPerEdge	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (71.95%)
nocatSecsPerCand	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (71.95%)

[SelfEdges]
InputEdgeCount	1000
InputEdgeCandidatesPerEdge:
0	73
1	753
2	112
3	32
4	13
5+	17
CandidateCount	1216
ComplexCandidateCount	1047
EdgeFilter	0
SemiMappedFilter	32
ComplexLowCountFilter	238
ComplexLowSignalFilter	139
UnmatchedReadPairFilter	0
SpanningComplexCandidateFiltered	74
JunctionAssemblyOverlapSkipped	0
JunctionCount	1158
ComplexJunctionCount	1047
BreaksPerJunction:
0	0
1	1158
2	0
3+	0
TotalAssemblyCandidates	426
TotalSpanningAssemblyCandidates	7
AssemblyCandidatesPerJunction:
0	755
1	359
2	21
3	5
4	0
5+	2
totalHours	0.0244h wall, 0.0481h user + 0.0005h system = 0.0486h CPU (199.10%)
totalSecsPerEdge	0.0879s wall, 0.1732s user + 0.0018s system = 0.1749s CPU (199.10%)
totalSecsPerCand	0.0723s wall, 0.1424s user + 0.0015s system = 0.1439s CPU (199.10%)
candiHours	0.0009h wall, 0.0018h user + 0.0001h system = 0.0019h CPU (200.49%)
candiSecsPerEdge	0.0034s wall, 0.0065s user + 0.0002s system = 0.0067s CPU (200.49%)
candiSecsPerCand	0.0028s wall, 0.0053s user + 0.0002s system = 0.0055s CPU (200.49%)
assemHours	0.0212h wall, 0.0418h user + 0.0004h system = 0.0421h CPU (199.11%)
assemSecsPerEdge	0.0762s wall, 0.1504s user + 0.0013s system = 0.1517s CPU (199.11%)
assemSecsPerCand	0.0627s wall, 0.1237s user + 0.0011s system = 0.1248s CPU (199.11%)
scoreHours	0.0023h wall, 0.0045h user + 0.0001h system = 0.0046h CPU (198.89%)
scoreSecsPerEdge	0.0083s wall, 0.0162s user + 0.0002s system = 0.0165s CPU (198.89%)
scoreSecsPerCand	0.0068s wall, 0.0133s user + 0.0002s system = 0.0135s CPU (198.89%)
nocatHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (72.49%)
nocatSecsPerEdge	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (72.49%)
nocatSecsPerCand	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (72.49%)
